,COUNTYNAME,STATE,EDUCATION_LEVEL,PERCENT TOTAL
0,Abbeville County,SC,EDUCATION_LESS_9TH,6.6
1,Acadia Parish,LA,EDUCATION_LESS_9TH,9.9
2,Accomack County,VA,EDUCATION_LESS_9TH,6.3
3,Ada County,ID,EDUCATION_LESS_9TH,1.4
4,Adair County,IA,EDUCATION_LESS_9TH,2.1
5,Adair County,KY,EDUCATION_LESS_9TH,10.1
6,Adair County,MO,EDUCATION_LESS_9TH,3.4
7,Adair County,OK,EDUCATION_LESS_9TH,5.1
8,Adams County,CO,EDUCATION_LESS_9TH,7.7
9,Adams County,IA,EDUCATION_LESS_9TH,2.1
10,Adams County,ID,EDUCATION_LESS_9TH,3.1
11,Adams County,IL,EDUCATION_LESS_9TH,2.0
12,Adams County,IN,EDUCATION_LESS_9TH,8.9
13,Adams County,MS,EDUCATION_LESS_9TH,7.5
14,Adams County,ND,EDUCATION_LESS_9TH,1.3
15,Adams County,NE,EDUCATION_LESS_9TH,4.1
16,Adams County,OH,EDUCATION_LESS_9TH,7.3
17,Adams County,PA,EDUCATION_LESS_9TH,4.0
18,Adams County,WA,EDUCATION_LESS_9TH,24.8
19,Adams County,WI,EDUCATION_LESS_9TH,2.5
20,Addison County,VT,EDUCATION_LESS_9TH,2.6
21,Adjuntas Municipio,PR,EDUCATION_LESS_9TH,24.5
22,Aguada Municipio,PR,EDUCATION_LESS_9TH,23.6
23,Aguadilla Municipio,PR,EDUCATION_LESS_9TH,18.0
24,Aguas Buenas Municipio,PR,EDUCATION_LESS_9TH,21.7
25,Aibonito Municipio,PR,EDUCATION_LESS_9TH,15.6
26,Aiken County,SC,EDUCATION_LESS_9TH,4.2
27,Aitkin County,MN,EDUCATION_LESS_9TH,2.2
28,Alachua County,FL,EDUCATION_LESS_9TH,2.9
29,Alamance County,NC,EDUCATION_LESS_9TH,5.6
30,Alameda County,CA,EDUCATION_LESS_9TH,6.2
31,Alamosa County,CO,EDUCATION_LESS_9TH,8.3
32,Albany County,NY,EDUCATION_LESS_9TH,2.5
33,Albany County,WY,EDUCATION_LESS_9TH,1.6
34,Albemarle County,VA,EDUCATION_LESS_9TH,3.6
35,Alcona County,MI,EDUCATION_LESS_9TH,3.0
36,Alcorn County,MS,EDUCATION_LESS_9TH,7.7
37,Aleutians East Borough,AK,EDUCATION_LESS_9TH,6.6
38,Aleutians West Census Area,AK,EDUCATION_LESS_9TH,5.7
39,Alexander County,IL,EDUCATION_LESS_9TH,4.9
40,Alexander County,NC,EDUCATION_LESS_9TH,5.5
41,Alexandria city,VA,EDUCATION_LESS_9TH,4.6
