,COUNTYNAME,STATE,OCCUPATION_LEVEL,TOTALS,MALE,PERCENT_MALE,FEMALE,PERCENT FEMALE
0,Autauga County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,9336,4561,48.9,4775,51.1
1,Baldwin County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,33923,16191,47.7,17732,52.3
2,Barbour County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2261,892,39.5,1369,60.5
3,Bibb County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1775,656,37,1119,63
4,Blount County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6385,2428,38,3957,62
5,Bullock County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,826,369,44.7,457,55.3
6,Butler County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2123,777,36.6,1346,63.4
7,Calhoun County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,13592,5715,42,7877,58
8,Chambers County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3631,1651,45.5,1980,54.5
9,Cherokee County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2862,1048,36.6,1814,63.4
10,Chilton County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4246,1684,39.7,2562,60.3
11,Choctaw County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,993,432,43.5,561,56.5
12,Clarke County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1767,692,39.2,1075,60.8
13,Clay County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1265,391,30.9,874,69.1
14,Cleburne County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1475,604,40.9,871,59.1
15,Coffee County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,7187,3067,42.7,4120,57.3
16,Colbert County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6254,2351,37.6,3903,62.4
17,Conecuh County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,566,210,37.1,356,62.9
