,COUNTYNAME,STATE,Total_POPULATION,TOTAL_NATIVE,TOTAL_FOREIGN_BORN_NATURALIZED_CITIZEN,TOTAL_FOREIGN_BORN_NOT_US_CITIZEN
0,Abbeville County,SC,23352,23020,157,175
1,Acadia Parish,LA,58127,57124,306,697
2,Accomack County,VA,30837,28727,454,1656
3,Ada County,ID,419473,394005,12792,12676
4,Adair County,IA,6740,6634,25,81
5,Adair County,KY,18233,18003,21,209
6,Adair County,MO,24066,23024,197,845
7,Adair County,OK,20527,20146,157,224
8,Adams County,CO,460437,384460,25526,50451
9,Adams County,IA,3499,3469,16,14
10,Adams County,ID,3865,3797,47,21
11,Adams County,IL,62307,61285,714,308
12,Adams County,IN,31878,31516,210,152
13,Adams County,MS,29637,27290,360,1987
14,Adams County,ND,2257,2188,0,69
15,Adams County,NE,29524,27759,721,1044
16,Adams County,OH,26192,26012,94,86
17,Adams County,PA,96868,92802,1540,2526
18,Adams County,WA,17494,12560,1167,3767
19,Adams County,WI,19424,18897,286,241
20,Addison County,VT,35395,33691,850,854
21,Adjuntas Municipio,PR,17298,17231,8,59
22,Aguada Municipio,PR,36960,36596,101,263
23,Aguadilla Municipio,PR,51757,51133,326,298
24,Aguas Buenas Municipio,PR,25147,24932,133,82
25,Aibonito Municipio,PR,22320,22117,50,153
26,Aiken County,SC,157291,149695,2481,5115
27,Aitkin County,MN,15255,15058,139,58
28,Alachua County,FL,248986,222077,13328,13581
29,Alamance County,NC,151229,138595,3826,8808
30,Alameda County,CA,1546194,1017232,283352,245610
31,Alamosa County,CO,15286,13881,520,885
32,Albany County,NY,291843,260044,17903,13896
33,Albany County,WY,36167,33378,939,1850
34,Albemarle County,VA,100664,89301,5059,6304
35,Alcona County,MI,10046,9903,92,51
36,Alcorn County,MS,35097,34452,210,435
37,Aleutians East Borough,AK,3317,2199,303,815
38,Aleutians West Census Area,AK,5510,3239,927,1344
39,Alexander County,IL,6072,6030,16,26
40,Alexander County,NC,35297,33987,306,1004
41,Alexandria city,VA,145133,102461,17615,25057
42,Alfalfa County,OK,5528,5320,80,128
43,Alger County,MI,8871,8788,34,49
44,Allamakee County,IA,12951,12225,279,447
45,Allegan County,MI,108094,104513,1538,2043
46,Allegany County,MD,68703,67192,655,856
47,Allegany County,NY,44600,43416,541,643
48,Alleghany County,NC,10532,9998,137,397
49,Alleghany County,VA,14607,14449,70,88
50,Allegheny County,PA,1161245,1092328,32576,36341
51,Allen County,IN,343858,320101,11408,12349
52,Allen County,KS,11874,11718,104,52
53,Allen County,KY,19412,19207,89,116
54,Allen County,OH,97257,95825,751,681
55,Allen Parish,LA,24047,23046,103,898
56,Allendale County,SC,8806,8721,8,77
57,Alpena County,MI,27238,26833,187,218
58,Alpine County,CA,1107,1080,15,12
59,Amador County,CA,36295,34163,1209,923
60,Amelia County,VA,12110,11980,61,69
61,Amherst County,VA,30176,29649,297,230
62,Amite County,MS,11779,11707,33,39
63,Anchorage Municipality,AK,274346,242914,19645,11787
64,Anderson County,KS,7361,7278,54,29
65,Anderson County,KY,20822,20520,63,239
66,Anderson County,SC,184474,178875,2487,3112
67,Anderson County,TN,71700,69106,1069,1525
68,Anderson County,TX,54872,51271,1212,2389
69,Andrew County,MO,16434,16269,113,52
70,Andrews County,TX,16267,13701,844,1722
